component_name,component_link,AMP_Molex_4pin_Connectors,ATX_4pin_Connectors,Color,EPS_8pin_Connectors,Efficiency_Rating,Fanless,Length,Manufacturer,Modular,PCIe_12pin_Connectors,PCIe_16pin_12VHPWR_Connectors,PCIe_62pin_Connectors,PCIe_6pin_Connectors,PCIe_8pin_Connectors,Part__,SATA_Connectors,Type,Wattage
Be Quiet! Straight Power 12 1200 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/L7CZxr/be-quiet-straight-power-12-1200-w-80-platinum-certified-fully-modular-atx-power-supply-bn339,2,0,Black,2,80+ Platinum,FALSE,180,Be Quiet!,Full,0,2,4,0,0,BN339,9,ATX,1200
Enermax Revolution D.F. 2 1050 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/WjcgXL/enermax-revolution-df-2-1050-w-80-gold-certified-fully-modular-atx-power-supply-ers1050ewt,4,0,Black,2,80+ Gold,FALSE,140,Enermax,Full,0,0,6,0,0,ERS1050EWT,8,ATX,1050
Be Quiet! Straight Power 12 1500 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/GjWJ7P/be-quiet-straight-power-12-1500-w-80-platinum-certified-fully-modular-atx-power-supply-bn340,2,0,Black,2,80+ Platinum,FALSE,180,Be Quiet!,Full,0,2,4,0,0,BN340,9,ATX,1500
Seasonic Vertex Px-1200 1200 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/VLWzK8/seasonic-vertex-px-1200-1200-w-80-platinum-certified-fully-modular-atx-power-supply-vertex-px-1200,3,0,Black / Silver,2,80+ Platinum,FALSE,160,Seasonic,Full,0,1,3,0,0,VERTEX PX-1200,18,ATX,1200
Msi Meg Ai-T Pcie5 1600 W 80+ Titanium Certified Fully Modular Atx,https://pcpartpicker.com/product/9D2j4D/msi-meg-ai-t-pcie5-1600-w-80-titanium-certified-fully-modular-atx-power-supply-meg-ai1600t-pcie5,8,0,Black / Gold,2,80+ Titanium,FALSE,190,Msi,Full,0,2,9,0,0,MEG Ai1600T PCIE5,8,ATX,1600
Msi Mag A750Gl Pcie5 750 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/dbCZxr/msi-mag-a750gl-pcie5-750-w-80-gold-certified-fully-modular-atx-power-supply-mag-a750gl-pcie5,4,0,Black,2,80+ Gold,FALSE,140,Msi,Full,0,1,3,0,0,MAG A750GL PCIE5,8,ATX,750
Msi Mag A550Bn 550 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/mnVmP6/msi-mag-a550bn-550-w-80-bronze-certified-atx-power-supply-mag-a550bn,2,0,Black,1,80+ Bronze,FALSE,140,Msi,No,0,0,2,0,0,MAG A550BN,5,ATX,550
Msi Mag A650Bn 650 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/8LNxFT/msi-mag-a-bn-650-w-80-bronze-certified-atx-power-supply-mag-a650bn,2,0,Black,1,80+ Bronze,FALSE,140,Msi,No,0,0,2,0,0,MAG A650BN,5,ATX,650
Montech Titan Gold 850W 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/fJFbt6/montech-titan-gold-850w-850-w-80-gold-certified-fully-modular-atx-power-supply-titan-gold-850w,4,0,Black,4,80+ Gold,FALSE,160,Montech,Full,0,1,4,0,0,TITAN GOLD 850W,12,ATX,850
Gamdias Kratos M1 B 550 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/VTNxFT/gamdias-kratos-m1-b-550-w-80-bronze-certified-atx-power-supply-kratos-m1-550b,2,0,Black,1,80+ Bronze,FALSE,140,Gamdias,No,0,0,2,0,0,KRATOS M1-550B,5,ATX,550
Msi Mag A850Gl Pcie5 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/zF4Zxr/msi-mag-a850gl-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mag-a850gl-pcie5,4,0,Black,2,80+ Gold,FALSE,140,Msi,Full,0,1,4,0,0,MAG A850GL PCIE5,8,ATX,850
Super Flower Leadex Iii Gold 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/8z7p99/super-flower-leadex-iii-gold-850-w-80-gold-certified-fully-modular-atx-power-supply-sf-850f14hg,4,0,Black,2,80+ Gold,FALSE,160,Super Flower,Full,0,0,6,0,0,SF-850F14HG,9,ATX,850
Raijintek Cratos 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/DKbRsY/raijintek-cratos-1000-w-80-gold-certified-fully-modular-atx-power-supply-0r30b00005,4,0,Black,2,80+ Gold,FALSE,140,Raijintek,Full,0,1,4,0,0,0R30B00005,8,ATX,1000
Msi Mpg A850G Pcie5 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/nhC48d/msi-mpg-a850g-pcie5-850-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a850g-pcie5,4,0,Black,2,80+ Gold,FALSE,150,Msi,Full,0,1,6,0,0,MPG A850G PCIE5,8,ATX,850
Be Quiet! Straight Power 12 1000 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/NyxxFT/be-quiet-straight-power-12-1000-w-80-platinum-certified-fully-modular-atx-power-supply-bn338,2,0,Black,2,80+ Platinum,FALSE,160,Be Quiet!,Full,0,1,4,0,0,BN338,9,ATX,1000
"Fsp Group Hydro Ti Pro,Gen 5 1000 W 80+ Titanium Certified Fully Modular Atx",https://pcpartpicker.com/product/3yKscf/fsp-group-hydro-ti-progen-5-1000-w-80-titanium-certified-fully-modular-atx-power-supply-hti-1000mgen5,4,0,Black,2,80+ Titanium,FALSE,150,Fsp Group,Full,0,1,5,0,0,"HTI-1000M,Gen5",12,ATX,1000
Seasonic Focus Gx V4 Atx 3 (2024) 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/ZNXV3C/seasonic-focus-gx-atx-30-v4-2024-850-w-80-gold-certified-fully-modular-atx-power-supply-focus-gx-850-v4-white,3,0,White,2,80+ Gold,FALSE,140,Seasonic,Full,0,1,3,0,0,FOCUS-GX-850-V4-WHITE,8,ATX,850
Msi Meg Ai1300P Pcie5 1300 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/JDGbt6/msi-meg-ai1300p-pcie5-1300-w-80-platinum-certified-fully-modular-atx-power-supply-meg-ai1300p-pcie5,4,0,Black / Copper,2,80+ Platinum,FALSE,160,Msi,Full,0,1,8,0,0,MEG Ai1300P PCIE5,16,ATX,1300
Super Flower Leadex Platinum Se 1000 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/DMbTwP/super-flower-leadex-platinum-se-1000-w-80-platinum-certified-fully-modular-atx-power-supply-sf-1000f14mp-v2,5,0,Black,2,80+ Platinum,FALSE,180,Super Flower,Full,0,0,6,2,0,SF-1000F14MP V2,10,ATX,1000
Thermaltake Toughpower Gf3 Tt Premium 850 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/phVmP6/thermaltake-toughpower-gf3-tt-premium-850-w-80-gold-certified-fully-modular-atx-power-supply-ps-tpd-0850fnfagu-4,4,0,Black,2,80+ Gold,FALSE,160,Thermaltake,Full,0,1,4,0,0,PS-TPD-0850FNFAGU-4,12,ATX,850
Thermaltake Smart Bm3 750 W 80+ Bronze Certified Semi-Modular Atx,https://pcpartpicker.com/product/hDQKHx/thermaltake-smart-bm3-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-spd-0750mnfabu-3,7,0,Black,2,80+ Bronze,FALSE,140,Thermaltake,Semi,0,1,4,0,0,PS-SPD-0750MNFABU-3,6,ATX,750
Lian Li Edge 1000 W 80+ Platinum Certified Fully Modular Atx,https://pcpartpicker.com/product/WX4Zxr/lian-li-edge-1000-w-80-platinum-certified-fully-modular-atx-power-supply-eg1000-white,4,0,White,2,80+ Platinum,FALSE,182,Lian Li,Full,0,1,4,0,0,EG1000 White,12,ATX,1000
Msi Mpg A1000Gs Pcie5 1000 W 80+ Gold Certified Fully Modular Atx,https://pcpartpicker.com/product/2kXMnQ/msi-mpg-a1000gs-pcie5-1000-w-80-gold-certified-fully-modular-atx-power-supply-mpg-a1000gs-pcie5,4,0,Black,2,80+ Gold,FALSE,150,Msi,Full,0,2,1,0,0,MPG A1000GS PCIE5,8,ATX,1000
Fsp Group Hexa 85+ 350 W 80+ Bronze Certified Atx,https://pcpartpicker.com/product/6Dx2FT/fsp-group-hexa-85-350w-80-bronze-certified-atx-power-supply-hexa-85-350w,2,0,Black,1,80+ Bronze,FALSE,140,Fsp Group,No,0,0,0,1,0,HEXA 85+ 350W,4,ATX,350
Powerspec Ps 750Bsm 750 W 80+ Bronze Certified Semi-Modular Atx,https://pcpartpicker.com/product/ZC4BD3/powerspec-750-w-80-bronze-certified-semi-modular-atx-power-supply-ps-750bsm,4,0,Black,1,80+ Bronze,FALSE,160,Powerspec,Semi,0,0,4,0,0,PS 750BSM,6,ATX,750
